0 [6.93e-02, 6.93e-02]
200 [6.41e-02, 7.31e-02]
400 [5.53e-02, 8.39e-02]
600 [4.95e-02, 9.22e-02]
800 [4.54e-02, 9.81e-02]
1000 [4.31e-02, 1.02e-01]
1200 [4.19e-02, 1.03e-01]
1400 [4.14e-02, 1.04e-01]
1600 [4.11e-02, 1.03e-01]
1800 [4.09e-02, 1.03e-01]
2000 [4.09e-02, 1.01e-01]
2200 [4.08e-02, 9.98e-02]
2400 [4.08e-02, 9.79e-02]
2600 [4.07e-02, 9.57e-02]
2800 [4.07e-02, 9.31e-02]
3000 [4.07e-02, 9.01e-02]
3200 [4.07e-02, 8.67e-02]
3400 [4.07e-02, 8.28e-02]
3600 [4.06e-02, 7.84e-02]
3800 [4.06e-02, 7.34e-02]
4000 [4.06e-02, 6.77e-02]
4200 [4.05e-02, 6.14e-02]
4400 [4.04e-02, 5.44e-02]
4600 [4.03e-02, 4.68e-02]
4800 [4.01e-02, 3.88e-02]
5000 [3.98e-02, 3.07e-02]
5200 [3.94e-02, 2.32e-02]
5400 [3.88e-02, 1.67e-02]
5600 [3.77e-02, 1.16e-02]
5800 [3.60e-02, 7.82e-03]
6000 [3.34e-02, 5.20e-03]
6200 [2.95e-02, 3.46e-03]
6400 [2.43e-02, 2.38e-03]
6600 [1.86e-02, 1.78e-03]
6800 [1.38e-02, 1.47e-03]
7000 [1.05e-02, 1.32e-03]
7200 [8.17e-03, 1.23e-03]
7400 [6.58e-03, 1.17e-03]
7600 [5.45e-03, 1.14e-03]
7800 [4.62e-03, 1.11e-03]
8000 [4.01e-03, 1.09e-03]
8200 [3.53e-03, 1.08e-03]
8400 [3.15e-03, 1.07e-03]
8600 [2.84e-03, 1.06e-03]
8800 [2.59e-03, 1.05e-03]
9000 [2.41e-03, 1.03e-03]
9200 [2.33e-03, 1.01e-03]
9400 [2.31e-03, 1.01e-03]
9600 [2.29e-03, 1.01e-03]
9800 [2.28e-03, 1.01e-03]
10000 [2.27e-03, 1.01e-03]
10200 [2.26e-03, 1.01e-03]
10400 [2.25e-03, 1.01e-03]
10600 [2.24e-03, 1.01e-03]
10800 [2.24e-03, 1.01e-03]
11000 [2.23e-03, 1.01e-03]
11200 [2.22e-03, 1.01e-03]
11400 [2.21e-03, 1.01e-03]
11600 [2.21e-03, 1.01e-03]
11800 [2.20e-03, 1.01e-03]
12000 [2.19e-03, 1.01e-03]
12200 [2.19e-03, 1.01e-03]
12400 [2.18e-03, 1.01e-03]
12600 [2.17e-03, 1.01e-03]
12800 [2.16e-03, 1.01e-03]
13000 [2.16e-03, 1.01e-03]
13200 [2.15e-03, 1.01e-03]
13400 [2.14e-03, 1.01e-03]
13600 [2.13e-03, 1.01e-03]
13800 [2.12e-03, 1.01e-03]
14000 [2.11e-03, 1.01e-03]
14200 [2.10e-03, 1.01e-03]
14400 [2.09e-03, 1.01e-03]
14600 [2.08e-03, 1.01e-03]
14800 [2.07e-03, 1.01e-03]
15000 [2.05e-03, 1.01e-03]
15200 [2.04e-03, 1.01e-03]
15400 [2.03e-03, 1.01e-03]
15600 [2.02e-03, 1.00e-03]
15800 [2.01e-03, 1.00e-03]
16000 [1.99e-03, 1.00e-03]
16200 [1.98e-03, 1.00e-03]
16400 [1.97e-03, 1.00e-03]
16600 [1.95e-03, 1.00e-03]
16800 [1.94e-03, 1.00e-03]
17000 [1.93e-03, 1.00e-03]
17200 [1.91e-03, 1.00e-03]
17400 [1.90e-03, 1.00e-03]
17600 [1.89e-03, 1.00e-03]
17800 [1.88e-03, 1.00e-03]
18000 [1.86e-03, 1.00e-03]
18200 [1.85e-03, 1.00e-03]
18400 [1.84e-03, 1.00e-03]
18600 [1.82e-03, 1.00e-03]
18800 [1.81e-03, 1.00e-03]
19000 [1.80e-03, 1.00e-03]
19200 [1.79e-03, 1.00e-03]
19400 [1.77e-03, 1.00e-03]
19600 [1.76e-03, 1.00e-03]
19800 [1.75e-03, 1.00e-03]
20000 [1.74e-03, 1.00e-03]
20200 [1.73e-03, 1.00e-03]
20400 [1.72e-03, 1.00e-03]
20600 [1.71e-03, 1.00e-03]
20800 [1.70e-03, 1.00e-03]
21000 [1.69e-03, 1.00e-03]
21200 [1.68e-03, 1.00e-03]
21400 [1.67e-03, 1.00e-03]
21600 [1.66e-03, 1.00e-03]
21800 [1.65e-03, 1.00e-03]
22000 [1.64e-03, 1.00e-03]
22200 [1.63e-03, 1.00e-03]
22400 [1.62e-03, 1.00e-03]
22600 [1.61e-03, 1.00e-03]
22800 [1.60e-03, 1.00e-03]
23000 [1.60e-03, 1.00e-03]
23200 [1.59e-03, 1.00e-03]
23400 [1.58e-03, 1.00e-03]
23600 [1.57e-03, 1.00e-03]
23800 [1.57e-03, 1.00e-03]
24000 [1.56e-03, 1.00e-03]
24200 [1.55e-03, 1.00e-03]
24400 [1.55e-03, 1.00e-03]
24600 [1.54e-03, 1.00e-03]
24800 [1.54e-03, 1.00e-03]
25000 [1.53e-03, 1.00e-03]
25200 [1.52e-03, 1.00e-03]
25400 [1.52e-03, 1.00e-03]
25600 [1.51e-03, 1.00e-03]
25800 [1.51e-03, 1.00e-03]
26000 [1.50e-03, 1.00e-03]
26200 [1.50e-03, 1.00e-03]
26400 [1.49e-03, 1.00e-03]
26600 [1.49e-03, 1.00e-03]
26800 [1.49e-03, 1.00e-03]
27000 [1.48e-03, 1.00e-03]
27200 [1.48e-03, 1.00e-03]
27400 [1.47e-03, 1.00e-03]
27600 [1.47e-03, 1.00e-03]
27800 [1.47e-03, 1.00e-03]
28000 [1.46e-03, 1.00e-03]
28200 [1.46e-03, 1.00e-03]
28400 [1.46e-03, 1.00e-03]
28600 [1.45e-03, 1.00e-03]
28800 [1.45e-03, 1.00e-03]
29000 [1.45e-03, 1.00e-03]
29200 [1.44e-03, 1.00e-03]
29400 [1.44e-03, 1.00e-03]
29600 [1.44e-03, 1.00e-03]
29800 [1.43e-03, 1.00e-03]
30000 [1.43e-03, 1.00e-03]
30200 [1.43e-03, 1.00e-03]
30400 [1.43e-03, 1.00e-03]
30600 [1.42e-03, 1.00e-03]
30800 [1.42e-03, 1.00e-03]
31000 [1.42e-03, 1.00e-03]
31200 [1.42e-03, 1.00e-03]
31400 [1.41e-03, 1.00e-03]
31600 [1.41e-03, 1.00e-03]
31800 [1.41e-03, 1.00e-03]
32000 [1.41e-03, 1.00e-03]
32200 [1.41e-03, 1.00e-03]
32400 [1.40e-03, 1.00e-03]
32600 [1.40e-03, 1.00e-03]
32800 [1.40e-03, 1.00e-03]
33000 [1.40e-03, 1.00e-03]
33200 [1.40e-03, 1.00e-03]
33400 [1.39e-03, 1.00e-03]
33600 [1.39e-03, 1.00e-03]
33800 [1.39e-03, 1.00e-03]
34000 [1.39e-03, 1.00e-03]
34200 [1.39e-03, 1.00e-03]
34400 [1.39e-03, 1.00e-03]
34600 [1.39e-03, 1.00e-03]
34800 [1.38e-03, 1.00e-03]
35000 [1.38e-03, 1.00e-03]
35200 [1.38e-03, 1.00e-03]
35400 [1.38e-03, 1.00e-03]
35600 [1.38e-03, 1.00e-03]
35800 [1.38e-03, 1.00e-03]
36000 [1.38e-03, 1.00e-03]
36200 [1.37e-03, 1.00e-03]
36400 [1.37e-03, 1.00e-03]
36600 [1.37e-03, 1.00e-03]
36800 [1.37e-03, 1.00e-03]
37000 [1.37e-03, 1.00e-03]
37200 [1.37e-03, 1.00e-03]
37400 [1.37e-03, 1.00e-03]
